(546,760);(592,777);R05570
(567,464);(613,481);R03634
(991,567);(1037,584);R03236
(941,567);(987,584);R03239
(967,316);(1013,333);R01069
(863,198);(909,215);R01064
(249,592);(295,609);R03256
(605,554);(651,571);R05549
(605,493);(651,510);R03635
(605,435);(651,452);R03418
(739,506);(785,523);R00801
(716,413);(762,430);R01103
(686,476);(732,493);R02410
(249,432);(295,449);R04393
(173,733);(219,750);R01095
(93,672);(139,689);R01104
(93,611);(139,628);R01329
(93,549);(139,566);R02926
(93,489);(139,506);R01194
(405,466);(451,483);R01786
(405,445);(451,462);R01786
(170,405);(216,422);R01678
(170,384);(216,401);R01678
(482,394);(528,411);R00959
(309,395);(355,412);R00503
(543,272);(589,289);R00291
(482,243);(528,260);R00289
(242,303);(288,320);R00502
(331,272);(377,289);R00955
(737,163);(783,180);R03387
(661,107);(707,124);R03033
(450,118);(496,135);R03034
(226,107);(272,124);R01097
(605,377);(651,394);R02411
(446,344);(492,361);R01192
(187,343);(233,360);R01105
(546,736);(592,753);R02928
(812,733);(858,750);R02927
(226,128);(272,145);R01097
(345,82);(391,99);R01098
(404,423);(450,440);R01788
(516,684);(562,701);R03240
(858,490);(904,507);R08366
(858,577);(904,594);R05168
(911,629);(957,646);R08365
(808,591);(854,608);R08367
(686,592);(732,609);R01101
(789,506);(835,523);R00801
(863,128);(909,145);R10616
(863,219);(909,236);R01064
(661,128);(707,145);R03033
(863,107);(909,124);R10616
(787,163);(833,180);R03387
(226,151);(272,168);R01096
(226,172);(272,189);R08544
(222,272);(268,289);R01092
(140,272);(186,289);R10619
(386,367);(432,384);R00505
(292,303);(338,320);R00502
(1017,733);(1063,750);R11623
